Query	Closest-1	Closest-2	Closest-3
Which is the best book to know about Wahhabi Islam?	What are the daily duties of a bachelor according to the Indian Vedas?	Is Mgit good at placements?	Which is the best university to study journalism and mass communications in India?
How can I track down who created an Instagram account?	How can I track down who created an Instagram account?	How can I track down who created an Instagram account?	How can I track down who created an Instagram account?
Where can I post my shayaries?	How can I make my coaching center famous in my city, Aligarh?	Which medical college can I get at air 6590?	What sorts of classes does Daniel Rothchild take at Harvard?
What are the safety precautions on handling shotguns proposed by the NRA in Alaska?	What are the safety precautions on handling shotguns proposed by the NRA in Alaska?	What are the safety precautions on handling shotguns proposed by the NRA in Alaska?	What are the safety precautions on handling shotguns proposed by the NRA in Alaska?
Who is the all time best footballer in India?	How are Rajya Sabha members elected?	Is Democracy bad?	How can I learn martial art online?
How common is it for wrestlers to use steroids?	How can I get a job at the Canadian Space Agency?	How is volume and density related	What will be the salary of IAS Officer Trainee after 7th Cpc?
Has life been found on any other planet?	Has life been found on any other planet?	Has life been found on any other planet?	Has life been found on any other planet?
What is butterfly effect?	What's the butterfly effect?	What's the butterfly effect?	What is the mystery of crop circles?
Am I the only one who wants to get away from home at the age of 24?	Am I the only one who wants to get away from home at the age of 24?	What book would you recommend to a person who will die in 24 hours and why?	Why do all of my questions get markers for needing improvement no matter how carefully I word them?
What are the important nutrients obtained from fish?	What is the longest running research program in the world?	What do many people criticize Fox News?	What are some good Malayalam songs on hope?
Where can I download Design of Concrete Structures (in SI Units) by Nilson (14th edition)?	How many combination of 6 numbers can you make in 49 numbers and there is 1 to 49?	What is it like to attend the International Institute Of Professional Studies, Ranchi for international students?	What can I do in 10 days to perform a 12 foot Long jump successfully?
What are some of the best novels to read to enhance writing skills?	What was the first programming language that you learned in life?	What are the qualities of psychopath and sociopath? How to tell their differences?	What is the easiest way to improve my vocabulary?
Who is the most beautiful living actress?	What are vessels in terms of religion?	What are the two types of scrollbars? How do they differ from each other?	Is what I feel true love?
North Korea: Is Kim Jong Un the only fat person in North Korea? While everybody is starving..	North Korea: Is Kim Jong Un the only fat person in North Korea? While everybody is starving..	Has Modi let down USA and Japan by begging Chinese investments into his home state Gujarat? Why is Modi scared of China?	I am Christian woman who is in love with a married Muslim man who is ready to marry me, what should I do?
How long will it take to whirl like a Dervish?	Why do IT companies want their employees to give them passport copies?	Can anyone predict about my love future?	When men feel emotions, are they able to identify them?
Would a black man be offended if I said I find black men sexually attractive?	Dimensions of the tools - French curve, hip curve, grade set square, fashion curve, pattern master, pattern notches and thread snipers please?	The Walt Disney Company (company): Where can I find the Pixar film Up's products? (e.g. Carl and ellie's doll)	The Walt Disney Company (company): Where can I find the Pixar film Up's products? (e.g. Carl and ellie's doll)
How do I build a home gym on a budget?	How much of your company should you give to an investor?	How much of your company should you give to an investor?	What happens after an income tax raid?
What happens to you if you try to walk around Mars without a spacesuit?	What is the extreme diet to loose belly fat fast?	How wikipedia earn money without publishing ads in their website?	How scary is it to drive on the road to Hana given all of the turns?
I want to die. what can I do?	How do you want to die and why?	What should I do if I want to die?	I want to die? …
What are the best restaurants in Macau?	Is it racist to notice ignorant things other cultures do and detest them?	Is it racist to notice ignorant things other cultures do and detest them?	What does "es" mean in Spanish?
What are some jobs that will be in high demand in the next 10 years or so in the SAARC region?	What are some jobs that will be in high demand in the next 10 years or so in the SAARC region?	Which is the best Bca colleges in Lucknow?	What food can increase dopamine respectively serotonin?
What is market analysis?	What are the best music festivals in the U.S.?	Why is nasa telling lies?	Why is biology so hard?
Daniel Ek: Why spotify is not available in India for free?	Daniel Ek: Why spotify is not available in India for free?	Daniel Ek: Why spotify is not available in India for free?	Daniel Ek: Why spotify is not available in India for free?
How do I change my League of Legends icon?	Does it matter if a husband is younger than his wife?	What are all the zip codes of the Bay Area?	I can't stop thinking about girls. What should I do?
What do you think about Modi Government decision to ban ₹500,₹1000 notes?	What do you think about Modi Government decision to ban ₹500,₹1000 notes?	What do you think about Modi Government decision to ban ₹500,₹1000 notes?	What do you think about Modi Government decision to ban ₹500,₹1000 notes?
What are some things to do in Goa?	What are some things to do in Goa?	What are some things to do in Goa?	What are some things to do in Goa?
What are the physiological effects of drinking heavy water (deuterium oxide)?	What are the physiological effects of drinking heavy water (deuterium oxide)?	How can we reduce the power of the eye in a natural way?	How can we reduce the power of the eye in a natural way?
Why can't we detect dark matter?	Why can't we detect dark matter?	What makes us happy?	What are the greatest contributions of America in literature and culture?
Why do people watch Arnab Goswami debates?	What doesn't the nation want to know on Arnab Goswami's show?	What do we really think about Arnab Goswami?	Does Arnab Goswami have friends?
Straight women - would you date a bisexual guy?	What services does Walmart Money Center offer? What are their hours?	How do you write a C program to split a string by a delimiter?	How do I improve my relationship with my younger sister as an older brother?
Is 29 old for a woman?	How do you avoid copyright infringment?	How can I find a movie that I can only remember the ending?	What are the best book for bank preparation?
What are some of the best Bollywood horror movies?	What the best anime you see?	What the best anime you see?	Is being a gay bad thing?
When is the next Quora meetup in Kolkata?	When is the next Quora meetup in Kolkata?	How has Quora changed your view/belief about inclusiveness?	Is Quora voice activated?
How is Donald Trump viewed in Europe?	Do Chinese people believe wishing trees?	How can I lose fat as a teenager?	Why doesn't the US switch to the metric systems?
How much is air india mile worth?	Who is the richest woman in Africa?	Where can I eat dog meat in India?	Is it worth repairing a Samsung Galaxy S7 Edge?
What are the laws in India that every indian must be aware of so he/she can use them whenever it is required?	How do crushed red pepper and red pepper flakes differ?	What makes a poem a good way to express emotions? How does it influence creative writing?	How can I show to the world that I [a 1 3-years old boy] has discovered a new thing?
What are requirements to become Indian para commando?	What are requirements to become Indian para commando?	What are different regional pronunciations of "forehead"?	What is the best way to remove the hair around the vagina?
Which are the top places to visit in Kerala?	Which are the top places to visit in Kerala?	Which are the top places to visit in Kerala?	Which are the top places to visit in Kerala?
How much will I need to score in JEE Mains 2017 for NIT Trichy CSE, considering I belong to Home State?	My cat hissed and ran away from my friend, what could be the reason?	If Star Wars stormtroopers can be killed by the first shot, what's the use of the fancy armour?	My company hasn't cleared my variable pay since 4months. Now upon my resignation, they say it will take 25 more working days to process. Is it ok?
Do you need a loan? If yes, contact the Islamic financial loans today via: islamicloansscustomersdesk@yande…	Do you need a loan? If yes, contact the Islamic financial loans today via: islamicloansscustomersdesk@yande…	Do you need a loan? If yes, contact the Islamic financial loans today via: islamicloansscustomersdesk@yande…	Do you hear that Cat 8 cables will be released in the short period? And it is specially designed for 25G and 40G Ethernet.
Which is the best framework for designing software?	Which is the best framework for designing software?	How will be the exam pattern of GROUP 2	What is the most difficult subject in CFA Level 1?
What is the XAT exam?	How difficult is it to become a Chartered Accountant?	What are some alternatives to the electoral college?	What is the best documentary about the Second World War?
What does celebrations like ganpati, Diwali, holy, raksha bandhan means in todays world?	How do I get someone to go for professional help when they are scared in a relationship when they cannot admit that they even have feelings for me?	What's the point of love if you know that one day they can stop loving you back and just walk away when whenever?	Can horrors/horror games become true in real life? I.e Silent Hill, Outlast etc.
Who would win in a fight between different species of cats: lion, tiger, leopard, jaguar, snow leopard, cheetah, and puma?	Which are the e commerce portals where I can upload and sell my range of essential oils and wellness products in New Delhi, India?	I was sent a video that suggests Michelle Obama is a man. Can an anatomy expert debunk this silliness?	4 yrs studie gap. Can I apply for Australia student visa?
What will be the valuation of a Company?	How can the equivalent resistance of a circuit be calculated?	What is the equivalent resistance of this circuit?	What does dynamic company do?
What's your favourite hummus recipe?	How do businesses use social media?	Is music like a language?	What is your favorite novel genre?
Do you use Facebook?	Do you use Facebook?	Why we should use Facebook?	Why don't you use Facebook?
Why is diamonds raining on planets but they take millions of years to form?	Why the incandescent lamp heating when current passed through it? .?	Why do most of the Muslim nations need dictators or kings? Why can't they just opt for democracy?	What steps should you take to buy Cialis?
After all the hype that Indian media has created post Uri attacks, will it not be embarrassing for India if it does not attack Pakistan?	When will helium run out and should helium filled party ballons be banned?	Are all religion other than Islam happy with uniform civil code in India?	Are all religion other than Islam happy with uniform civil code in India?
How many combinations of three letters in a 26 letter alphabet are there?	How should I prepare for the Amazon online coding interview?	How should I prepare for the Amazon online coding interview?	How should I prepare for the Amazon online coding interview?
What is the name for the sounds monkeys make? What do scientist think the sounds represent?	Are microwaves generated by microwave ovens dangerous to human beings in any way?	Did the USA or NATO commit any war crimes in Iraq?	Can someone share their opinion about the Philippines?
How do I deactivate the app "App Lock"?	How do I deactivate the app "App Lock"?	Why can't I sleep more than 5 hours a night?	Can someone help me in solving this integral?
What are the best blogging sites?	Why is it "fall in love" not "rise in love"?	Why is it "fall in love" not "rise in love"?	Why is it "fall in love" not "rise in love"?
Has anyone tried Woodsplash.pl for video illustration?	Can you survive on welfare without working?	What is it like to be a Southerner in the Northern United States?	Will my Polytechnic help to delay my NS service, or do I have to apply for it?
Can plants do photosynthesis in artificial light?	What are the differences between romanticism and neoclassicism?	Who's my boyfriend accuse me of things I don't do, and I do everything for him?	Is the soul immortal?
Do we have any trick to know who see your whatsapp profile?	Do we have any trick to know who see your whatsapp profile?	Do we have any trick to know who see your whatsapp profile?	How do I know if someone viewed my profile on Whatsapp?
How can I hack my phone?	How can I hack my phone?	How can I hack my phone?	How can I hack my phone?
What career choice do I have after completing a B.Tech in mechanical engineering if I am interested in space research?	What career choice do I have after completing a B.Tech in mechanical engineering if I am interested in space research?	What career choice do I have after completing a B.Tech in mechanical engineering if I am interested in space research?	What career choice do I have after completing a B.Tech in mechanical engineering if I am interested in space research?
Why is sex a taboo?	How do I learn spoken English?	How do I learn spoken English?	How do I learn spoken English?
Who will/should be the next president of India in 2017?	Who will/should be the next president of India in 2017?	Who will/should be the next president of India in 2017?	Who will/should be the next president of India in 2017?
In which country do you find the most beautiful people in the world?	Which song best describes your country?	What is the best way to market a novel?	How can one differentiate between 'being beautiful' and 'being good-looking'?
What are the causes of baggage loss in the airports?	How hard is it to get into UPT for the Air Force?	How are chocolate raw materials obtained and how is chocolate made?	Why does dark chocolate taste so nasty?
What is a cheat code for Clash of Clans?	What is a cheat code for Clash of Clans?	What fraction of checked luggage gets lost?	What are tips to get an A in AP classes?
What are the social movements in singapore?	How good is Mercedes Benz in India?	When in December will Apple's LG monitor be available?	What is the difference between Indian ethnic wear and Western wear?
Why didn't Commodore, Tandy, or Atari license clones of their computer platforms?	Do you think Tywin knew about Cersei and Jaime all along?	How does anxiety cause shortness of breath?	Why do I always get diarrhea during my menstrual period?
Someone steals $50 from your store. Later they purchase an item worth $40 with the stolen money. The person receives the item and $10 change. How much money have you lost in all?	Someone steals $50 from your store. Later they purchase an item worth $40 with the stolen money. The person receives the item and $10 change. How much money have you lost in all?	What are 10 or fewer good habits for a 24 year old that can make life better?	Does topical application of platelet derived growth factor creams increase the risk of clots inside the body?
Are mars rovers a hoax?	Can Burma overtake Bangladesh in a war?	What are the best digital marketing firm in sydney?	How can I get equipments to make a quad copter in Kolkata?
What are the best sites to learn new Indian languages?	How do you get a verified profile or page on Facebook?	How do you get a verified profile or page on Facebook?	What are the requirements to create a sucessful travel social network?
How can I get traffic on website?	How do I get more traffic on my website?	How can I get traffic on website?	How can I get traffic on website?
What is the meaning behind Goku's symbol?	Which is better GTA5 or Watch Dogs?	As a fresher, how should I learn Big Data Hadoop and How productive will it be?	Why and how did the Umayyad Caliphate decline?
What are some of the most interesting fictional schools?	What moral lessons does the story of Cinderella teach?	What does this mean - twice as many A as B?	What are the applications of combinational circuits?
How can I write an article for children?	How can I write an article for children?	Where can I find the best shemale app meeting?	What kind of music do they listen to in North Korea?
Why do Orthodox Jewish men wear black hats (not referring to streimels)?	How can radioactive pollution be prevented?	What circumstances are the most conducive to the rise of fascism?	How do I treat my carpal tunnel syndrome?
How did conflict in syria started?	What are good texts to read to find out about Sufism?	Why am I so awkward around people?	What are some of the best kept secrets of India?
How do I make the most out of Quora?	How do I make the most out of Quora?	What languages does Quora support?	What are some other sites like Quora?
Why did some people want to impeach George W. Bush?	What can you use instead of cider vinegar?	What does ‘ennikkum’ mean in English?	Why are Indian parents so much against love marriages?
What can I do with domain name ?	What can I do with domain name ?	What's on your "never again" list?	Why do neutrinos exist?
Why do people send a picture of their family instead of a Christmas card? Why do they write nothing inside?	What is career prospect and life of a Male escort or Gigolo like in India? What are the problems they face in their real world.	Love: I think my best friend likes me. We are both girls and I believe I'm in love with her. Should I ask her how she feels about us?	I had depression in the past. Reading some melancholic post here brought back some depressing feelings. How do I deal with it?
What do Australians think of American gun laws?	How do I get a dopamine rush while studying?	What is the fastest web browser?	What are the best books for preparation of IIT JAM physics?
What are the most important or contentious cases that have been arbitrated by NASD/FINRA?	Do you have any experience with atarax for anxiety?	How can I learn Photoshop and create amazing designs and arts?	Does Google never fire software engineers?
What makes someone a pervert?	What is the difference between fixed and floating caliper?	What is the unit digit of 7^7^7?	How do you reset your yahoo password without a backup email?
What are the scholarships for studying in the UK for an Indian student?	How big is the role of antisemitism in the criticism of Israel?	Can I install Linux OS on my HP?	What's the difference between a barrister and solicitor in Australia?
How can I earn money for my travelling?	How do I earn money by travelling?	What's the best near-death experience you've ever had?	How can I get my hair to grow faster?
Why we do not use the Sanskrit language as a programming language?	What makes Avon products good?	What are the best courses for the electrical engineering?	What is something most people wouldn't know about your profession?
What is something money can't buy?	What is something that money can't buy?	How do we know that there is no antimatter?	Which is the best time to get married?
Is there any logic behind the random procedure of H1-B selection?	Is it possible for a U.S. citizen to get a new bank account in the U.S. without applying for their SSN?	Getting Started on Quora: Is there a way to view a list of all the topics/questions I am following?	Could there be a negative correlation between grades in college and success in life as an entrepreneur?
What are some sustainable and scaleable ways to turn non-arable land into arable land?	Who has scored more goals in all competitions between Lionel Messi and Cristiano Ronaldo?	How do (professional sports) teams choose someone to sing the national anthem?	If my boyfriend chooses to spend my birthday with someone else is that a bad sign?
How do I remove light scratches from car?	How do I remove light scratches from car?	How do I remove light scratches from car?	How hard is it to start a home based daycare?
How should one prepare for campus placements?	How should one prepare for campus placements?	How should one prepare for campus placements?	What type of car do you currently drive?
Is it more common for Stanford students to regret taking too many classes, or for them to regret not taking more classes?	What is that business that is working well in other countries but has not yet started in India ?	What are some tips on making it through the job interview process at Avid Tech?	How is it logically possible for Buddha to discover that the "self" does not exist?
What are the attributes of octopuses belongs to Octopuses Family?	What is the significance of "The Gospel of Wealth"?	What is the difference between web services and API?	What is the difference between web services and API?
What is the best IDE to code Python that is simple, lightweight and intelligent for auto fill and mouse hover tips?	As a first time visitor, should I spend 3 days in Sydney or 2 days in Sydney and 1 day in Melbourne?	Why does Hack Reactor keep saying they will release their job reports but never do?	What are some good admission counseling consultancies in the Bangalore region for admissions into an MS program in the US through the GRE?
Is there any option to delete someone from our friend list on Facebook?	What are the requirements to get into the University of Waterloo as an international student?	What kind of makeup/outfit do u like?	I heard that there is mucus in my stomach. How do I get rid of all the mucus in my stomach?
How did you collect the information you required?	How can I be ambitious and satisfied at the same time?	Can I really earn from Clickbank?	Can a helicopter reach on the peak of Mount Everest?
Is java programming easy?	Is java programming easy?	Is java programming easy?	Is java programming easy?
How helpful is doing digital marketing course?	How helpful is doing digital marketing course?	How helpful is doing digital marketing course?	How helpful is doing digital marketing course?
Did any people in China laugh at Axl Rose for making that controversial "Chinese Democracy" album, or wonder why he wrote it (when he is probably not a China expert?)	What is a more effective shear wall or R.c.c wall if the wall acts as a fixed support of cantilever?	I am from Delhi and shifting to Pune due to a job change. I have no friend there! How we can make friends in Pune?	If a child does not get mother's milk during their childhood then what will be the effects on health during adulthood and how can one overcome those?
Why do good human beings always have to face problems in their lives?	What are some things new employees should know going into their first day at Aon?	Why do most women find white men to be the most attractive?	What was a good interview question you were asked for a machine learning position? Why?
What is the best reverse osmosis water purifier in india?	How easy is it for an Indian to visit Pakistan as a tourist?	How do I stop procrastinating and become more bold?	What are some good books to understand British Rule in India?
What does this mean ^^?	What does "我家小哥" mean?	What do '...!' and '...?' mean?	 What is this and what does it mean?
Where should I get my MBA?	How do you get a girl to ask you out?	How do I become a quant in a year?	How do I get a job in interpol?
What are the easiest ways to become a millionaire?	How is to study math at the TU Munich?	What are the differences and similarities between laparoscopy and endoscopy?	What are some luxury resorts near Jaipur?
What are some bad reasons to declare war?	Why is US mainstream media biased against Trump?	Why is US mainstream media biased against Trump?	What makes us so adaptable? Can you think of some species that are more adaptable than we are?
What are the benefits of PMJDY TO OUR COUNTRY?	What is icing on a cake made of? How can we make it at home.?	How can I find hidden talent inside me?	Where can I find good pest control service in hyderabad?
Is a cold air intake worth the money?	Is a hot dog a sandwich?	How many days should I go to the gym per week?	How do we ping someone's cell phone?
How bad are herpes?	How bad are herpes?	Why is herpes bad for you?	What are some endemic species of India?
How do I locate a tracking device?	Why is my YouTube video not showing? How can I fix it?	Why is a video not showing on YouTube and how can I fix this?	Why is a video not showing on YouTube and how can I fix this?
How many Indian-Muslims agree that their ancestors were Hindus who were converted by Moghuls?	Can I hope to be employed in the unesco as an archaeologist?	Why did Bangladesh become a Muslim country?	What are some of the best music albums of 2012?
How can you be more descriptive when writing?	What are some examples of mathematical axioms?	What is the main purpose of science?	Why do people date interracially?
Why do you use condoms?	Who is the most down-to-earth celebrity?	Why AIDS has no cure?	What are the benefits of swim?
What are the Best places to travel in India?	What are the Best places to travel in India?	What are the Best places to travel in India?	What is the best places in India to travel?
What happens if a sc/st or any other backward caste hides their community certificate and mentions brahmin or any other forward caste(General)?	Democratic Party (U.S.): Do corporate lobbyists wield most of the power, control and influence in USA politics?	My memory card says "SD card not recognized, please format" after re-inserting it into the camera. How do I recover it?	If I am a java trainee in Infosys, what should be the three location preferences? Which location has more projects for freshers?
Who would win in boxing Triple G vs Canelo?	What is it like to tour with Trey Songz?	Where can I donate sperm in Bangalore?	Why does Lord Shiva Drink Marijuana(Bhang)?
Will Donald trump really arrest Hillary Clinton?	What is the purpose of mosquitoes and flies on earth?	Where are the most beautiful ladies in the world?	Will China collapse once Trump becomes US president?
"Believers:" What makes you think your religion is the right one?	What is a way to convince your parents to get another dog?	What are great Secret Santa present ideas?	How difficult is it for the average person to become a computer programmer?
What are key mechanical concepts that would be useful or even mandatory to know for an electrical or civil engineer involved in say a power plant turnkey project?	I want to become a filmmaker. I hate my job as a civil engineer, but I can't quit my job and pursue my dream because of my heavy financial problems. I am in a dilemma. I can't concentrate on other things because of this. What should I do?	What's the best approach to writing a lengthy memory within a book chapter? Could I change the font to signify it's a memory?	I can do easier stuff in R but as I move into complicated codes I find it hard to keep up & my morale's brought down. Will I ever be a data scientist?
Can humans crossbreed with other primates?	Can humans crossbreed with other primates?	Vegetables: Can you eat raw radish with skin?	How does the Consumer Welfare Fund in India work?
What does a data scientist do? Can you become one without being hired as one?	What is the best World War II presentation?	What is the best email marketing tool?	Is there any other movie like drishyam?
Will people be able to learn languages online without net neutrality?	Is CBR 150R sports tourer like CBR 250R?	What are some good books to read about incentives and incentive structures?	Which is a better phone, iPhone 6s vs One Plus 3?
How is an ethernet splitter used?	Are there many sunny days?	Are college students more ambitious than they used to be?	What is NEET phase-1 and NEET phase-2?
What are the interesting facts about Madala Panji?	How do I create my own digital assistant like Siri, Google Now, or Cortana?	How can we learn all the trigonometric formulae with Euler's formula?	How should I prepare for IPCC when I am just left with 45 days?
What are your inspirations to write?	What are your inspirations to write?	What are market forces?	How does a robot work?
What are some things new employees should know going into their first day at The Andersons?	What are some things new employees should know going into their first day at The Andersons?	What are some things new employees should know going into their first day at The Andersons?	What are some things new employees should know going into their first day at The Andersons?
Why don't bananas have seeds? How does the banana tree reproduce?	How is Masters in Engineering Management from Northeastern University?	What is the reason why tropical cyclones form over the ocean?	What banks accept MasterCard?
Why is anal sex so enjoyable?	How enjoyable is anal sex?	Is anal sex enjoyable?	Is anal sex enjoyable?
How do people justify NOT making gun laws more strict?	What's the coolest thing you have made with a 3D printer?	How do I explain not joining a business-related club during college?	Why hasn't science progressed as to turn deserts to forests?
How do I sync my iPhone with my MacBook Air?	Why do Indians consider hockey as their national game?	What are the sexiest pornstars?	What are the sexiest pornstars?
What's the probability that a leap year has 53 Sundays?	What's the probability that a leap year has 53 Sundays?	What's the probability that a leap year has 53 Sundays?	Have you ever seen a student get roasted by a teacher?
What are examples of sentences with the word "abash"?	What are examples of sentences with the word "abash"?	What are examples of sentences with the word "abash"?	How can I hide photo's and videos in Samsung Galaxy On7?
Is Commodity trading safe to invest money?	How can I embed Google Alerts onto my website?	What Majors does Ukraine women enroll in most?	Which is the best SIP to invest in 2015?
Do the RBI grade B employees get foreign tour expenses reimbursed?	How can high-carb and low-fat vegans lose weight if they're eating so many calories and sugar?	What can be good poster(s) for room, preferably relating to travel/motivation/cricket/languages/self-improvement or anything related to these mentioned categories?	In Star Wars, when a ship goes into lightspeed or hyperspace, how does it not crash into space debris, planets, stars, etc.?
Will win the 2016 presidential race?	Will win the 2016 presidential race?	Will win the 2016 presidential race?	Will win the 2016 presidential race?
I am in first year. In which direction should I start my preparation to clear for IAS exam?	I am in first year. In which direction should I start my preparation to clear for IAS exam?	I am in first year. In which direction should I start my preparation to clear for IAS exam?	I am in first year. In which direction should I start my preparation to clear for IAS exam?
What happens to an unhealed wound after you die?	What will be the force on a current carrying conductor if all the parameters are doubled?	What are the best "girlfriend memes" you have come across?	Is Batman against the death penalty?
Homeland (TV series): What was the point of the reference to Once Upon a Time in America?	What was the most memorable 'viral' story that you had forwarded to your inbox back when there wasn't Facebook and social media yet?	Art Conservation and Restoration: What are the conditions of replacing a bulb in a Dan Flavin piece?	Will Startup Chile get in touch with the startups that could not participate in the program?
How do you convert an aup file (audacity file) into a mp3 or wav file?	Were the Assassins from the Assassin's Creed series actual historical figures, or a real group?	Were the Assassins from the Assassin's Creed series actual historical figures, or a real group?	Why do Indians have a tendency to not follow simple rules like "be in a queue at the ticket counter"?
What are your New Year's resolutions for 2017?	What is/are your New Year resolutions for 2017?	What is/are your New Year resolutions for 2017?	What is/are your New Year resolutions for 2017?
What do you think about this video?	What do you think of this video ?	Are people really good?	Do we got a problem?
What is the most embarrassing thing you have done to get a job?	What is the minimum time required to build a flyover of about 1km?	Why does a flame go upward despite gravity?	Which is the best intelligence agency across the world?
What are some examples of warm blooded and cold blooded animals?	What are some examples of warm blooded and cold blooded animals?	What could I be instead of a fashionista if I'm an artist that draws?	What could I be instead of a fashionista if I'm an artist that draws?
What you say, India to do after “Uri Terror Attack” by Pakistan?	What you say, India to do after “Uri Terror Attack” by Pakistan?	What you say, India to do after “Uri Terror Attack” by Pakistan?	Do girls love anal sex?
Is Tony Robbins fake?	Is Tony Robbins fake?	Why did Hitler attack USSR?	Is pro wrestling fake?
How much dollar I need to live I usa for 1 month?	How do I go about getting a sugar daddy?	How do I go about getting a sugar daddy?	What's so bad about Fox News?
Holography: Is it possible to create holographic 2D screens in the air like in Dead Space?	How do I think without words, images or sounds?	How do I think without words, images or sounds?	Should I skip school because of suicide thoughts?
Why do I have lower back pain when I breathe? How can I treat this?	Why were so many ancient philosophers Greek and why were they usually mathematicians or scientists?	What is the difference between a stiff leg deadlift and a romanian deadlift?	What are some good TED talks on dating?
Should people over 100 not be allowed to vote?	Should people over 100 not be allowed to vote?	Should people over 100 not be allowed to vote?	Should people over 100 not be allowed to vote?
How do I find a job abroad?	How did you find a job abroad?	How did you find a job abroad?	How do I find a job abroad?
Have the Ancient Mayans been scientifically tested?	Have the Ancient Mayans been scientifically tested?	Have the Ancient Mayans been scientifically tested?	Have the Ancient Mayans been scientifically tested?
What are some famous ESL learners?	What is your neet state rank?	How much do porn stars earn?	How much do porn stars earn?
How does Wikipedia ensure content quality / authenticity is maintained?	What are some tips for staying comfortable on long flights?	Why is Donald Trump nasty and why do people actually like him?	Why is Donald Trump nasty and why do people actually like him?
How do you get rid of scars on your legs?	Was Donald Trump democratically elected?	What are the origins of the term "gaslight"?	What computer setup does Adam D'Angelo use?
What are some successful ways to quit smoking?	What are some successful ways to quit smoking?	What are some successful ways to quit smoking?	What are some successful ways to quit smoking?
How strong are Germany's armed forces?	What role does catharsis play in Greek tragedy? How often was it used?	What role does catharsis play in Greek tragedy? How often was it used?	From where can I buy cyanide pills in India?
Is time a vector?	What do you mean by basic concept in physics?	What is your favorite recipe with pumpkin?	What is choppy signal?
What universities does United Continental recruit new grads from? What majors are they looking for?	What universities does United Continental recruit new grads from? What majors are they looking for?	What universities does United Community recruit new grads from? What majors are they looking for?	What universities does Cousins Properties recruit new grads from? What majors are they looking for?
Who will win in a fight between (DC Comics) JLA and (Star Trek) USS Starship Enterprise?	Who will win in a fight between (DC Comics) JLA and (Star Trek) USS Starship Enterprise?	How do I prove [math]\sin \theta \cot \theta = \cos \theta[/math]?	How can you treat a burning sensation on the inner thigh? What are possible causes of this affliction?
What sides go well with shrimp scampi dish?	What sides go well with shrimp scampi dish?	Can a narcissist fall in love?	Does hypnosis work like in the movie Now You See Me?
What are good thesis topic for mechanical engineering management?	What are the weirdest questions asked in an IIM interview?	How long does it take to get pregnant after sex during ovulation?	What are the questions asked in an IIM interview?
What's your favourite Chinese food?	What's your favourite Chinese food?	What's your favourite Chinese food?	What is your favourite Harry Potter book?
What are some good colleges that offer MBA on management quota?	How do I prove the independence of a product of random variables?	Who gets the profit from the Ryder Cup?	Why do some Disney movies include love?
When men fantasize about their wife having sex with someone else, what turns them on?	When men fantasize about their wife having sex with someone else, what turns them on?	When men fantasize about their wife having sex with someone else, what turns them on?	What is the history/science behind Krishna’s Butter Ball rock in Mahabalipuram?
Can someone suggest famous Goan vegetarian dishes that I can try in Goa?	What are the pros and cons of learning C++ as a first programming language?	Logic Puzzles: How can one use two condoms for three turns?	Can I claim my spouse as a dependent on my US tax return?
Why is PayPal popular? Why should I use PayPal if a credit/debit card is more widely accepted for payment? Paypal also charges for receiving payment	How can I reship to my house using fake amazon.com packaging (or a similar type of service for camouflage)?	How do I add a Wi-Fi router to a cable modem? Which cable is used to connect LAN port to WAN port? Explain in detail with configuration. 	Android Devices: How do I set my SD card as default storage on Android Lollipop 5.1?
What are the implications of the recent study showing that ego depletion may not be real?	Where does a curious mind go to find illegal porn of whatever kind?	What would it look like to be inside a hamster ball made entirely of mirror?	What would you do, if you were the Uber CEO, to fix the legal and safety issues they currently have?
What is the best way to make a rotisserie style turkey in a small oven? What are some interesting ways to prepare it?	Do black women find white men attractive?	Do white men find black women attractive?	Do white women find black men attractive?
What are the best online courses to learn for free?	What are the best books on mathematical cognition?	What are some good resources to learn about Intellectual Property?	What is the best book for philosophy for beginners?
What are some good interview questions on SPI interface?	What are some good interview questions on SPI interface?	What are some good interview questions on SPI interface?	How do you multiply three matrices?
What is the best idea for a youtuve chanell?	Why doesn't hair of animals go grey like that of humans?	How can you train a Golden Retriever/Corgi mix?	How can you train a Golden Retriever/Corgi mix?
How do you make kebab bread?	Can you substitute condensed milk for evaporated milk? Why or why not?	What is uses of Die steel?	Does water filter carbon monoxide?
How do I create a blog on Quora?	How do I create my blog on Quora?	How do you create a blog in Quora?	How do I create a blog on Quora?
What are the best hotels in Varanasi?	What are the best hotels in Varanasi?	What are the best hotels in Varanasi?	What are some best hotels in varanasi?
Should Bernie Sanders supporters go to Jill Stein or Hillary Clinton?	Is Mercedes Benz’s Michael Schumacher tunnel Commercial fake or real?	Why is there a picture of potato and a sentence saying, "sorry for the long post, here's a potato" in 9gag? What does it mean?	What is von Neumann Architecture? How can you relate von Neumann architecture to an actual computer?
What is the differece between yoga and meditation?	Why can’t all Delhi Metro trains have eight coaches?	How do I stop using heroin?	How do I stop using heroin?
What is the temperature of a dead person?	How is fractional distillation made?	How is fractional distillation made?	How does a scanning tunneling microscope work?
What is moderator?	What is poplin top?	What entertains people?	What is the fulcrum in The Blacklist?
What is VAT credit?	Is lemon juice good for the hair?	What is the difference between classical and quantum mechanics?	How is cool jazz different from bebop?
